CHARTER,CITYST,COST,FAILDATE,NAME,ASSET,DEPOSIT
NM,"SAC CITY, IA",14804,11/3/2023,CITIZENS BANK,60448,52311
SM,"ELKHART, KS",54167,7/28/2023,HEARTLAND TRI-STATE BANK,139446,130110
NM,"SAN FRANCISCO, CA",16657086,5/1/2023,FIRST REPUBLIC BANK,212638872,176436706
NM,"NEW YORK, NY",1825021,3/12/2023,SIGNATURE BANK,110363650,88612911
SM,"SANTA CLARA, CA",21818659,3/7/2023,SILICON VALLEY BANK,209026000,175378000
NM,"ALMENA, KS",15965,10/23/2020,ALMENA STATE BANK,65733,64941
NM,"FORT WALTON BEACH, FL",7247,10/16/2020,FIRST CITY BANK OF FLORIDA,136566,133936
NM,"BARBOURSVILLE, WV",43807,4/3/2020,THE FIRST STATE BANK,151808,143102
NM,"ERICSON, NE",23992,2/14/2020,ERICSON STATE BANK,100879,95159
N,"NEWARK, NJ",1161,11/1/2019,CITY NATIONAL BANK OF NEW JERSEY,120574,111234
NM,"LOUISA, KY",4264,10/25/2019,LOUISA COMMUNITY BANK,28163,25174
SB,"MAUMEE, OH",1571,10/25/2019,RESOLUTE BANK,23292,22885
NM,"COOPER, TX",18263,5/31/2019,ENLOE STATE BANK,36738,31254
SB,"CHICAGO, IL",75753,12/15/2017,WASHINGTON FEDERAL BANK FOR SAVINGS,166345,143964
NM,"ARGONIA, KS",280,10/13/2017,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,33012,27466
SM,"SAINT ELMO, IL",8088,5/26/2017,FAYETTE COUNTY BANK,34370,33972
SB,"MILWAUKEE, WI",131962,5/5/2017,GUARANTY BANK,1031900,1002026
NM,"NEW ORLEANS, LA",787005,4/28/2017,FIRST NBC BANK,3325870,3032208
NM,"COTTONWOOD HEIGHTS, UT",9883,3/3/2017,PROFICIO BANK,68208,65042
NM,"CHICAGO, IL",43838,1/27/2017,SEAWAY BANK AND TRUST COMPANY,297809,256505
NM,"PENNSVILLE, NJ",22158,1/13/2017,HARVEST COMMUNITY BANK,124223,122177
SM,"MULBERRY, AR",6213,9/23/2016,ALLIED BANK,66336,64713
NM,"WOODBURY, GA",3290,8/19/2016,THE WOODBURY BANKING COMPANY,21426,21122
NM,"KING OF PRUSSIA, PA",10825,5/6/2016,FIRST CORNERSTONE BANK,103307,101040
NM,"MEMPHIS, TN",10372,4/29/2016,TRUST COMPANY BANK,18998,20148
NM,"MILWAUKEE, WI",11773,3/11/2016,NORTH MILWAUKEE STATE BANK,67115,61493
N,"LONGVIEW, WA",995,10/2/2015,HOMETOWN NATIONAL BANK,3785,3705
NM,"PEACHTREE CITY, GA",27760,10/2/2015,THE BANK OF GEORGIA,286102,264234
SM,"DENVER, CO",1210,7/10/2015,PREMIER BANK,26760,25480
NM,"CHICAGO, IL",20647,5/8/2015,EDGEBROOK BANK,90034,90007
NM,"SAN JUAN, PR",699647,2/27/2015,DORAL BANK,5898515,4097734
NM,"ATLANTA, GA",95942,2/13/2015,CAPITOL CITY BANK & TRUST COMPANY,272311,262652
NM,"CHICAGO, IL",4743,1/23/2015,HIGHLAND COMMUNITY BANK,54727,53453
N,"CRESTVIEW, FL",6329,1/16/2015,FIRST NATIONAL BANK OF CRESTVIEW,73804,73199
NM,"MANKATO, MN",3946,12/19/2014,NORTHERN STAR BANK,18794,18221
SB,"PALM DESERT, CA",2905,11/7/2014,"FRONTIER BANK, FSB",80736,76344
N,"CHICAGO, IL",57658,10/24/2014,THE NATIONAL REPUBLIC BANK OF CHICAGO,843118,809638
SM,"RISING SUN, MD",19837,10/17/2014,NBRS FINANCIAL BANK,155353,151559
SB,"CHICAGO, IL",18412,7/25/2014,"GREENCHOICE BANK, FSB",70286,68722
NM,"CONYERS, GA",38334,7/18/2014,EASTSIDE COMMERCIAL BANK,173946,166875
NM,"FREEDOM, OK",3734,6/27/2014,THE FREEDOM STATE BANK,22816,20855
NM,"MOLINE, IL",47807,6/20/2014,VALLEY BANK,456442,359953
NM,"FORT LAUDERDALE, FL",5439,6/20/2014,VALLEY BANK,81843,66541
SB,"BEL AIR, MD",10954,5/30/2014,SLAVIE FEDERAL SAVINGS BANK,140063,111142
SI,"CINCINNATI, OH",7224,5/23/2014,COLUMBIA SAVINGS BANK,36484,29538
NM,"BERWYN, IL",21715,5/16/2014,AZTECAMERICA BANK,66309,65031
NM,"FAIRFAX, SC",22149,4/25/2014,ALLENDALE COUNTY BANK,49498,49356
N,"STERLING, VA",10940,2/28/2014,"MILLENNIUM BANK, NATIONAL ASSOCIATION",130305,121704
NM,"HORSHAM, PA",8956,2/28/2014,VANTAGE POINT BANK,63453,62472
NM,"BOISE, ID",3487,1/31/2014,SYRINGA BANK,153361,145813
NM,"EL RENO, OK",93335,1/24/2014,THE  BANK OF UNION,317172,315843
N,"WEST CHICAGO, IL",1530,1/17/2014,DUPAGE NATIONAL BANK,53524,51878
N,"THE WOODLANDS, TX",14203,12/13/2013,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",159257,142640
NM,"GRACEVILLE, FL",5849,10/30/2013,BANK OF JACKSON COUNTY,24724,24591
N,"EDINBURG, TX",616177,9/13/2013,FIRST NATIONAL BANK,3085764,2338335
NM,"BRIDGEPORT, CT",9211,9/13/2013,THE COMMUNITY'S BANK,26368,25715
NM,"PARSONS, TN",129801,8/23/2013,COMMUNITY SOUTH BANK,386908,377672
NM,"PHOENIX, AZ",15391,8/23/2013,SUNRISE BANK OF ARIZONA,202179,196924
NM,"WAUSAU, WI",13428,8/9/2013,BANK OF WAUSAU,43564,40663
NM,"FORT MYERS, FL",24921,8/2/2013,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,247315,243618
N,"SEVIERVILLE, TN",33292,6/7/2013,MOUNTAIN NATIONAL BANK,437282,373366
NM,"NORTH LAS VEGAS, NV",5208,6/6/2013,1st COMMERCE BANK,20152,19579
NM,"KENOSHA, WI",22473,5/31/2013,BANKS OF WISCONSIN,134024,127590
NM,"SCOTTSDALE, AZ",5425,5/14/2013,CENTRAL ARIZONA BANK,31550,30822
NM,"VALDOSTA, GA",16002,5/10/2013,SUNRISE BANK,60793,57775
NM,"ASHEVILLE, NC",7943,5/10/2013,PISGAH COMMUNITY BANK,21880,21246
NM,"DOUGLASVILLE, GA",89606,4/26/2013,DOUGLAS COUNTY BANK,317288,315326
NM,"LENOIR, NC",16490,4/26/2013,PARKWAY BANK,109642,104709
NM,"ORANGE PARK, FL",25231,4/19/2013,HERITAGE BANK OF NORTH FLORIDA,103960,106348
SB,"LEXINGTON, KY",7767,4/19/2013,FIRST FEDERAL BANK,92982,87196
