CHARTER,CITYST,STATE,STATEGDP,COST,FAILDATE,NAME,ASSET,DEPOSIT,state_latitude,state_longitude
N,"MIAMI, FL",Florida,689974,101748,1/11/2002,"HAMILTON BANK, NATIONAL ASSOCIATION",1409496,1298731,27.994402,-81.760254
NM,"UNIVERSITY PLACE, WA",Washington,410874,22860,1/11/2013,WESTSIDE COMMUNITY BANK,91935,91879,47.400902,-121.490494
NM,"PENNSVILLE, NJ",New Jersey,537579,22158,1/13/2017,HARVEST COMMUNITY BANK,124223,122177,40.298904,-74.521011
NM,"CARLISLE, IA",Iowa,121924,11574,1/14/2000,HARTFORD-CARLISLE SB,105044,68549,42.011539,-93.210526
NM,"BRUNSWICK, GA",Georgia,441627,84066,1/14/2011,OGLETHORPE BANK,211149,201369,33.040619,-83.643074
SM,"KAYSVILLE, UT",Utah,123902,107233,1/15/2010,BARNES BANKING COMPANY,709171,697109,40.150032,-111.862434
NM,"ST. STEPHEN, MN",Minnesota,287140,7707,1/15/2010,ST. STEPHEN STATE BANK,22895,23912,45.694454,-93.900192
NM,"ANTIOCH, IL",Illinois,698180,23289,1/15/2010,TOWN COMMUNITY BANK AND TRUST,70758,68323,40.349457,-88.986137
N,"CHARLOTTE, NC",North Carolina,431955,,1/16/2009,BANK OF AMERICA N.A.,1471631047,954677580,35.630066,-79.806419
N,"BERKELEY, IL",Illinois,688161,80488,1/16/2009,NATIONAL BANK OF COMMERCE,419741,395868,40.349457,-88.986137
N,"SAN FRANCISCO, CA",California,1995440,,1/16/2009,BANK OF AMERICA CALIFORNIA N.A.,21502223,500,36.116203,-119.681564
NM,"SALT LAKE CITY, UT",Utah,121431,,1/16/2009,MERRILL LYNCH BANK USA,61809503,53620324,40.150032,-111.862434
SB,"ALEXANDRIA, VA",Virginia,427649,,1/16/2009,COUNTRYWIDE BANK FSB,117978966,43663251,37.769337,-78.169968
N,"WILMINGTON, DE",Delaware,61518,,1/16/2009,FIA CARD SERVICES N.A.,159637136,9816599,39.318523,-75.507141
SB,"NEW YORK, NY",New York,1230672,,1/16/2009,MERRILL LYNCH BANK & TRUST CO FSB,37986413,28539028,42.165726,-74.948051
NM,"VANCOUVER, WA",Washington,370137,150783,1/16/2009,BANK OF CLARK COUNTY,441085,377506,47.400902,-121.490494
N,"PORTLAND, OR",Oregon,165527,,1/16/2009,BANK OF AMERICA OREGON N.A.,11526309,500,44.572021,-122.070938
N,"PROVIDENCE, RI",Rhode Island,50004,,1/16/2009,BANK OF AMERICA RHODE ISLAND N.A.,35410586,500,41.680893,-71.51178
N,"CRESTVIEW, FL",Florida,852242,6329,1/16/2015,FIRST NATIONAL BANK OF CRESTVIEW,73804,73199,27.994402,-81.760254
N,"WEST CHICAGO, IL",Illinois,741194,1530,1/17/2014,DUPAGE NATIONAL BANK,53524,51878,40.349457,-88.986137
